"ID","ElectDistrict","Party","Age","Gender","Independent","Region","EduLvl","RegElected","MP","EuroMP","Q1.IncomeDiff","Q2.GayAdoption","Q3.NuclearPow","Q4.ChildAlw","Q5.SeniorCare","Q6.RetireAge","Q7.ExtWCareer","Q8.BendIndex","Q9.CutPblExpend","Q10.GreekDebt","Q11.TransacTax","Q12.TaxInc","Q13.TaxDeduc","Q14.MortDeduc","Q15.RealEstTax","Q16.Conscript","Q17.NATO","Q18.HumRight","Q19.LandOwn","Q20.DvlAid","Q22.Guns","Q23.VolDomLng","Q24.Suvivirsi","Q25.Immigration","Q26.SaimaaSeal","Q27.MunOutsource","Q28.MunNb","Q29.CptRegMerger","Q30.EqlTransfer","CountAnsw","Q21.Fb.Bolivia","Q21.Fb.Brasilia","Q21.Fb.UK","Q21.Fb.Spain","Q21.Fb.Ghana","Q21.Fb.India","Q21.Fb.Iran","Q21.Fb.Island","Q21.Fb.Israel","Q21.Fb.Italy","Q21.Fb.Canada","Q21.Fb.China","Q21.Fb.Cuba","Q21.Fb.Norway","Q21.Fb.Poland","Q21.Fb.France","Q21.Fb.Sweden","Q21.Fb.Germany","Q21.Fb.Tanzania","Q21.Fb.Danemark","Q21.Fb.Tunisia","Q21.Fb.Turkey","Q21.Fb.Russia","Q21.Fb.Estonia","Q21.Fb.USA","CountQ21.Fb","Q31.GvtPrt.IPU","Q31.GvtPrt.KES","Q31.GvtPrt.KOK","Q31.GvtPrt.KA","Q31.GvtPrt.KD","Q31.GvtPrt.KTP","Q31.GvtPrt.M2011","Q31.GvtPrt.PS","Q31.GvtPrt.PIR","Q31.GvtPrt.RKP","Q31.GvtPrt.SDP","Q31.GvtPrt.SEN","Q31.GvtPrt.SKP","Q31.GvtPrt.STP","Q31.GvtPrt.VP","Q31.GvtPrt.VAS","Q31.GvtPrt.VIHR","CountQ31.GvtPrt","W1.IncomeDiff","W2.GayAdoption","W3.NuclearPow","W4.ChildAlw","W5.SeniorCare","W6.RetireAge","W7.ExtWCareer","W8.BendIndex","W9.CutPblExpend","W10.GreekDebt","W11.TransacTax","W12.TaxInc","W13.TaxDeduc","W14.MortDeduc","W15.RealEstTax","W16.Conscript","W17.NATO","W18.HumRight","W19.LandOwn","W20.DvlAid","W21.FBCountry","W22.Guns","W23.VolDomLng","W24.Suvivirsi","W25.Immigration","W26.SaimaaSeal","W27.MunOutsource","W28.MunNb","W29.CptRegMerger","W30.EqlTransfer","W31.GvtPrt","CountNegW","CountPosW","Cluster"
"Aaberg Gustaf","Uusimaa","RKP",52,"M",0,"Uusimaa",5,1,0,0,"GrowMod","1","1","Keep","NoIncrease","RaiseByMult","NotAny","Fifty","DropDaycare","FinInterest","YesIfOther","NotAny","UnionFees","RemGrad","0","Keep","YesSoon","YesHumRight","ResRussian","Keep","Keep","1","YesIfOpt","Fine","LocNetBan","IncAndLearn","230","VoluntCoop","LessEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",1,"0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",3,"1","-1","1","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","0","0","0","-1","1","0","0","0","1","-1","1","0","-1",4,11,4
"Aakero Fredrika","Uusimaa","RKP",27,"F",0,"Uusimaa",5,1,0,0,"ReducSlight","1","0","NoImpact","NoIncrease","RaiseByMult","IncAge","Keep","RedMilitary","FinInterest","Never","Energy","UnionFees","Keep","0","FemAlso","NotSoon","YesHumRight","NoRestrict","Keep","Keep","0","YesTrad","Fine","Keep","IncAndLearn","290","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0",3,"0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",3,"0","1","1","1","0","0","0","-1","0","0","-1","0","0","0","0","1","-1","0","0","0","-1","0","1","0","0","0","1","-1","0","0","0",5,6,4
"Aalto-Partanen Annika","Kymi","VIHR",32,"F",0,"Kymenlaakso",6,1,0,0,"ReducSlight","1","0","NoImpact","Yes","RaiseByOne","NotAny","Keep","NoCut","Support","YesIfOther","VAT","TFHomeSeller","Keep","0","Keep","Never","YesWithEU","NoRestrict","Keep","Keep","0","YesTrad","Fine","LocNetBan","NoInc","290","Keep","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0",3,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,3
"Aalto Jari","Finland Proper","VAS",43,"M",0,"W-Finland",3,1,0,0,"ReducMuch","0","1","NoImpact","Yes","Keep","NotAny","IncomePrior","Other","DebtRestruct","YesAlways","CapIncome","TFHomeSeller","Keep","0","Keep","Never","YesHumRight","ResAllForeign","GrowMod","Keep","1","YesTrad","TooLoose","Keep","NoInc","290","VoluntCoop","Keep",29,"0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0",3,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0",3,"1","-1","1","1","0","1","1","0","0","0","0","0","1","1","-1","1","1","0","0","-1","-1","0","-1","-1","1","-1","1","1","-1","-1","0",9,12,4
"Aalto Katri","Uusimaa","IPU",43,"F",0,"Uusimaa",5,0,0,0,"ReducMuch","0","0","Remove","Yes","Keep","NotAny","Fifty","Other","QuitEuro","Never","CapIncome","TFHousingB","Extend","0","Keep","Never","YesHumRight","ResRussian","GrowMod","BanHandG","0","YesTrad","TooLoose","WNetBan","Reduce","340","Keep","MoreEq",29,"0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0",3,"1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",3,"1","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","-1","0","0","1","0","0","1","0",1,12,1
"Aalto Pirkka","Lapland","KD",41,"M",0,"Lapland",7,1,0,0,"ReducMuch","0","0","NoImpact","Yes","Keep","NotAny","Fifty","DropDaycare","DebtRestruct","YesAlways","CapIncome","UnionFees","Keep","0","Keep","NotSoon","YesHumRight","ResRussian","Keep","Keep","1","YesTrad","TooStrict","LocNetBan","IncAndLearn","290","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0",3,"0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,3
"Aalto Seija","Kymi","KD",53,"F",0,"Kymenlaakso",6,0,0,0,"ReducSlight","0","1","NoImpact","Yes","RaiseByMult","NotAny","Fifty","RedMilitary","FinInterest","YesAlways","Capital","UnionFees","Keep","0","Select","NotSoon","YesHumRight","NoRestrict","GrowMod","BanHomeStrg","1","YesTrad","Fine","Keep","IncAndLearn","230","NewCouncil","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0",3,"0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,3
"Aalto Touko","C-Finland","VIHR",27,"M",0,"C-Finland",6,1,0,0,"ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","RedMilitary","FinInterest","YesAlways","CapIncome","TFHomeSeller","RemGrad","1","Select","Never","YesHumRight","NoRestrict","Keep","BanHomeStrg","1","YesIfOpt","Fine","LocNetBan","NoInc","170","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1",3,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1",3,"1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","-1","0","0","-1","1","0","1","1","0","1","1",2,19,1
"Aaltonen Mikko","Pirkanmaa","VAS",35,"M",0,"Pirkanmaa",6,1,0,0,"ReducMuch","1","0","Keep","Yes","Keep","NotAny","Fifty","Other","DebtRestruct","YesIfOther","CapIncome","TFHomeSeller","Keep","0","Keep","Never","YesHumRight","ResAllForeign","GrowMod","BanHomeStrg","0","YesTrad","Fine","WNetBan","NoInc","230","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0",3,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1",3,"1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",0,4,3
"Aaltonen Tero","Uusimaa","VAS",33,"M",0,"E-Uusimaa",3,1,0,0,"ReducMuch","1","0","NoImpact","Yes","Keep","NotAny","IncSligh","CutBusiness","FinInterest","YesAlways","CapIncome","NoneOfThese","Keep","1","Select","Never","YesHumRight","NoRestrict","Keep","BanHomeStrg","0","YesTrad","Fine","LocNetBan","NoInc","290","NewCouncil","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0",3,"0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0",1,0,3
"Aarela Torsti","Finland Proper","PS",48,"M",0,"W-Finland",6,1,0,0,"ReducMuch","0","1","Keep","Yes","Keep","RemPartTime","IncSligh","RedDvlAid","SuppWasMstk","YesAlways","CapIncome","EmpBenDed","RemGrad","0","Keep","Never","YesWithEU","ResRussian","Reduce","Loosen","1","YesIfOpt","TooLoose","Keep","NoInc","230","VoluntCoop","MoreEq",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1",3,"0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0",3,"1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",0,16,1
"Aarnio Ulriikka","Pirkanmaa","VIHR",36,"F",0,"Pirkanmaa",5,0,0,0,"ReducMuch","1","0","NoImpact","Yes","Keep","RemPartTime","IncSligh","RedMilitary","FinInterest","YesAlways","Energy","EmpBenDed","RemGrad","0","Select","NotSoon","YesHumRight","ResRussian","Keep","BanHomeStrg","1","YesIfOpt","TooStrict","LocNetBan","NoInc","170","VoluntCoop","Keep",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0",3,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1",3,"1","1","1","0","0","0","0","0","0","1","1","1","0","0","-1","0","1","1","-1","1","-1","1","-1","0","1","1","0","0","-1","0","-1",6,12,4
